method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
bjepa,0.0,none,empirical_task_gaussian,nll,clean,latent_mse,1,0.00899085799103662,0.0,0.0,0.0036112880896262585,148.96540425184153,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,decision_kl,1,0.028875512070953797,0.0,0.0,0.013690209008175197,110.92090013900153,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,action_mse,1,0.003255565831405545,0.0,0.0,0.00196419493370517,65.7455568966564,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,nll,1,0.9604218807713739,0.0,0.0,,,,,,
bjepa,0.0,none,empirical_task_gaussian,nll,clean,uncertainty,1,0.4900993879499106,0.0,0.0,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,latent_mse,1,0.008990421184691845,0.0,0.0,0.0036112880896262585,148.95330866893778,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,decision_kl,1,0.02889411629916261,0.0,0.0,0.013690209008175197,111.05679454497957,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,action_mse,1,0.003258596923089824,0.0,0.0,0.00196419493370517,65.89987415062475,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,nll,1,0.9603996441282076,0.0,0.0,,,,,,
de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,uncertainty,1,0.49009404511287297,0.0,0.0,,,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,latent_mse,1,0.0036114675900095518,0.0,0.0,0.0036112880896262585,0.004970536241872136,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,decision_kl,1,0.013691467076443607,0.0,0.0,0.013690209008175197,0.009189547563950759,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,action_mse,1,0.001965683401130188,0.0,0.0,0.00196419493370517,0.07578002567241092,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,nll,1,,0.0,0.0,,,,,,
de_vjepa,0.01,strong_bc,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
vjepa,0.0,none,none,nll,clean,latent_mse,1,0.0036112880896262585,0.0,0.0,0.0036112880896262585,0.0,,,,
vjepa,0.0,none,none,nll,clean,decision_kl,1,0.013690209008175197,0.0,0.0,0.013690209008175197,0.0,,,,
vjepa,0.0,none,none,nll,clean,action_mse,1,0.00196419493370517,0.0,0.0,0.00196419493370517,0.0,,,,
vjepa,0.0,none,none,nll,clean,nll,1,,0.0,0.0,,,,,,
vjepa,0.0,none,none,nll,clean,uncertainty,1,,0.0,0.0,,,,,,
