comparison,metric,mean_change,stderr,paired_t_pvalue,wilcoxon_pvalue,count,shift
de_vjepa-vjepa,success_rate,0.007407407407407408,0.012861881822379548,0.5656356413987961,0.5637028616507731,135,
de_vjepa-vjepa,success_rate,0.022222222222222223,0.022222222222222223,0.32277847875430943,0.31731050786291415,45,brightness
de_vjepa-vjepa,success_rate,0.0,0.0,,,45,clean
de_vjepa-vjepa,success_rate,0.0,0.03178208630818641,1.0,1.0,45,desaturation
de_vjepa-vjepa,average_return,6.758856582007711,2.5284631360053127,0.008449237221950475,0.00010601038969331165,135,
de_vjepa-vjepa,average_return,15.045312332601933,3.3943939237871246,6.1213491292611e-05,3.7565541788353585e-08,45,brightness
de_vjepa-vjepa,average_return,1.4037822909274975,4.882656691548577,0.7750763874351062,0.6226416352967021,45,clean
de_vjepa-vjepa,average_return,3.8274751224937025,4.543133109631516,0.40407852342158374,0.6385636627978784,45,desaturation
de_vjepa-vjepa,episode_length,-0.8592592592592593,1.4583649781153425,0.5567234453022828,0.6268149905747165,135,
de_vjepa-vjepa,episode_length,-2.422222222222222,2.3769705039514983,0.3137558038897225,0.10247043485974937,45,brightness
de_vjepa-vjepa,episode_length,0.3333333333333333,0.3113995776646092,0.290260023041171,0.6864680987265217,45,clean
de_vjepa-vjepa,episode_length,-0.4888888888888889,3.6869442361153855,0.8951142720363346,0.3508159294062424,45,desaturation
de_vjepa-vjepa,failure_rate,-0.007407407407407408,0.012861881822379548,0.5656356413987961,0.5637028616507731,135,
de_vjepa-vjepa,failure_rate,-0.022222222222222223,0.022222222222222223,0.32277847875430943,0.31731050786291415,45,brightness
de_vjepa-vjepa,failure_rate,0.0,0.0,,,45,clean
de_vjepa-vjepa,failure_rate,0.0,0.03178208630818641,1.0,1.0,45,desaturation
