candidate,baseline,metric,visual_condition,mean_difference,stderr,paired_t_pvalue,bootstrap_ci_low,bootstrap_ci_high,paired_units
bc_plus_de_vjepa,bc_plus_vjepa,success,ALL,0.012962962962962957,0.01782164578123466,0.4734976174501352,-0.024074074074074085,0.04444444444444445,27
bc_plus_de_vjepa,bc_plus_vjepa,success,background_shift,0.005555555555555553,0.01302893266617619,0.681057160871882,-0.01666666666666667,0.027777777777777776,9
bc_plus_de_vjepa,bc_plus_vjepa,success,brightness,0.027777777777777776,0.018839805508681303,0.17859915183527328,0.0,0.06666666666666667,9
bc_plus_de_vjepa,bc_plus_vjepa,success,clean,0.005555555555555545,0.05030769521187453,0.9147872755165956,-0.1,0.08888888888888888,9
bc_plus_de_vjepa,bc_plus_vjepa,return,ALL,10.140627455671128,10.951967373927934,0.36300368605666083,-10.243560952570364,32.66309443418644,27
bc_plus_de_vjepa,bc_plus_vjepa,return,background_shift,9.926211807360545,22.166920785966003,0.6661795604803994,-28.335305854191642,51.76288689522895,9
bc_plus_de_vjepa,bc_plus_vjepa,return,brightness,8.21971297617777,17.434143978390765,0.6498939282986789,-19.807427968057592,45.370466742462604,9
bc_plus_de_vjepa,bc_plus_vjepa,return,clean,12.275957583475071,19.316076276189317,0.542829850851404,-19.593130168382476,50.101666956643356,9
bc_plus_de_vjepa,bc_only,success,ALL,-0.08518518518518518,0.046133617317842796,0.07623506382653225,-0.17962962962962964,-0.00740740740740741,27
bc_plus_de_vjepa,bc_only,success,background_shift,0.022222222222222216,0.05957669608202004,0.7188362990751408,-0.09444444444444444,0.1222222222222222,9
bc_plus_de_vjepa,bc_only,success,brightness,-0.05555555555555555,0.029397236789606557,0.09545200899274062,-0.11666666666666667,-0.0055555555555555575,9
bc_plus_de_vjepa,bc_only,success,clean,-0.2222222222222222,0.11152699944380406,0.0814517505108489,-0.461111111111111,-0.038888888888888896,9
bc_plus_de_vjepa,bc_only,return,ALL,21.627239576567813,21.129557755341402,0.3154756957013023,-19.056219776658825,60.97357748509817,27
bc_plus_de_vjepa,bc_only,return,background_shift,32.76242288251778,24.075927813060378,0.21067314361932266,-10.479069783579577,78.395333538356,9
bc_plus_de_vjepa,bc_only,return,brightness,-45.85983246395986,39.837239172812765,0.2829002598869801,-127.04745138422079,21.27723089838529,9
bc_plus_de_vjepa,bc_only,return,clean,77.97912831114553,34.7067365388995,0.05484038532404688,15.491804980627686,141.30344777864443,9
