method,lambda,reference_policy_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
latent_only,0.0,none,brightness,latent_mse,6,0.05112585771054898,6.906474731680225e-05,2.819556502340319e-05,0.05112585771054898,0.0,,,,
latent_only,0.0,none,brightness,decision_kl,6,322.1195378486111,143.72618074237153,58.67596758297337,322.1195378486111,0.0,,,,
latent_only,0.0,none,brightness,action_mse,6,0.07567174344854062,0.014839905786934258,0.006058366168160699,0.07567174344854062,0.0,,,,
latent_only,0.0,none,clean,latent_mse,6,0.0015073137980981064,0.0001155208347457043,4.716118329789221e-05,0.0015073137980981064,0.0,,,,
latent_only,0.0,none,clean,decision_kl,6,0.33434486098009075,0.031811092077927046,0.012986823958602253,0.33434486098009075,0.0,,,,
latent_only,0.0,none,clean,action_mse,6,0.0006998440340889555,5.631115938236628e-05,2.2988934551889157e-05,0.0006998440340889555,0.0,,,,
random_policy_KL,0.01,random,brightness,latent_mse,6,0.051123820621783216,7.594959546584359e-05,3.100629251035261e-05,0.05112585771054898,-0.003984458856993717,-0.3618771275826809,0.7322344975643124,10.0,0.875
random_policy_KL,0.01,random,brightness,decision_kl,6,321.8990781457367,143.99259523435825,58.784730843881746,322.1195378486111,-0.06844033874716546,-0.6258985082713796,0.5588392147066872,10.0,1.0
random_policy_KL,0.01,random,brightness,action_mse,6,0.07568478619499132,0.014853881526078682,0.006064071739774379,0.07567174344854062,0.017235953417099752,0.7959355634896016,0.4621677770911877,7.0,0.5625
random_policy_KL,0.01,random,clean,latent_mse,6,0.0015073197726866707,0.00011549182692856751,4.714934090613603e-05,0.0015073137980981064,0.00039637324171473936,0.48303978464059383,0.6494755274611561,10.0,0.875
random_policy_KL,0.01,random,clean,decision_kl,6,0.33433840060093273,0.03181728450850573,0.012989352007799819,0.33434486098009075,-0.0019322501739929292,-0.3080118072905422,0.7704915859606782,9.0,0.84375
random_policy_KL,0.01,random,clean,action_mse,6,0.0006999126010197405,5.6232532792636974e-05,2.2956835381047162e-05,0.0006998440340889555,0.009797458782973533,1.7058429992833097,0.14875208098336395,3.0,0.15625
strong_BC_policy_KL,0.01,strong,brightness,latent_mse,6,0.051141057263630406,0.00019561749794903423,7.986050912251145e-05,0.05112585771054898,0.029729678409467865,0.1462848821616927,0.8894114580801988,10.0,0.875
strong_BC_policy_KL,0.01,strong,brightness,decision_kl,6,243.51138233101923,133.71821988855186,54.59023467337223,322.1195378486111,-24.403411243727767,-3.4204534725185542,0.018828954205691854,0.0,0.03125
strong_BC_policy_KL,0.01,strong,brightness,action_mse,6,0.07109627524273038,0.014056794100212674,0.00573866216081434,0.07567174344854062,-6.046468598839299,-2.6469499272224883,0.04559334800291126,3.0,0.15625
strong_BC_policy_KL,0.01,strong,clean,latent_mse,6,0.0017426744325035523,0.00014448492732751388,5.8985724579253035e-05,0.0015073137980981064,15.614574397343043,13.587158083177709,3.8706172982664256e-05,0.0,0.03125
strong_BC_policy_KL,0.01,strong,clean,decision_kl,6,0.2637727633947404,0.02656498585628051,0.01084511006202322,0.33434486098009075,-21.107576583793442,-22.740814081149228,3.0571580470495096e-06,0.0,0.03125
strong_BC_policy_KL,0.01,strong,clean,action_mse,6,0.0006440305731208282,3.928144282197045e-05,1.603658187902342e-05,0.0006998440340889555,-7.975128492848309,-4.06741686160833,0.009658434131767603,0.0,0.03125
weak_BC_policy_KL,0.01,weak,brightness,latent_mse,6,0.05106476662384177,0.00023912319043403765,9.762163370496064e-05,0.05112585771054898,-0.11949156345323268,-0.8769122823218344,0.42066305780425134,7.0,0.59375
weak_BC_policy_KL,0.01,weak,brightness,decision_kl,6,309.8598302513975,145.93770754769307,59.5788196205609,322.1195378486111,-3.8059497039808217,-2.359379270423683,0.06480093951603845,3.0,0.15625
weak_BC_policy_KL,0.01,weak,brightness,action_mse,6,0.07512085367494559,0.01486560404609618,0.006068857438531451,0.07567174344854062,-0.727999314525716,-3.107927277416386,0.02661315823385592,1.0,0.0625
weak_BC_policy_KL,0.01,weak,clean,latent_mse,6,0.0015078858971465338,0.00011476132426051615,4.685111444072477e-05,0.0015073137980981064,0.037954873706404484,1.337685306374133,0.23861594878484316,7.0,0.59375
weak_BC_policy_KL,0.01,weak,clean,decision_kl,6,0.3334831168094105,0.031687743462272384,0.012936467097130155,0.33434486098009075,-0.25774111441526226,-1.5746871463929093,0.17614506954130327,4.0,0.21875
weak_BC_policy_KL,0.01,weak,clean,action_mse,6,0.0006980411500626576,5.67171985456927e-05,2.3154699346178545e-05,0.0006998440340889555,-0.2576122590864047,-3.703519375321907,0.013948355975899471,1.0,0.0625
